Table name,State,District,Area Name,Last residence,Last residence,Place of enumeration,Total migrants,Total migrants (M),Total migrants (F),Less than 1 year,Less than 1 year(M),Less than 1 year(F),1-4 years,1-4 years(M),1-4 years(F),5-9 years,5-9 years(M),5-9 years(F),10-19 years,10-19 years(M),10-19 years(F),20+ years,20+ years(M),20+ years(F),Duration not stated,Duration not stated(M),Duration not stated(F)
,,,,,Total/Rural/Urban/Country,Total/Rural/Urban,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
D0302,7,0,State - NCT OF DELHI,Uttarakhand,Rural,Urban,"2,05,571","1,11,159","94,412","5,505","2,690","2,815","26,592","13,184","13,408","32,690","16,893","15,797","57,239","30,380","26,859","77,856","45,004","32,852","5,689","3,008","2,681"
D0302,7,0,State - NCT OF DELHI,Uttarakhand,Urban,Total,"77,275","37,017","40,258","3,046","1,463","1,583","13,081","6,085","6,996","12,975","6,136","6,839","18,241","8,638","9,603","26,644","13,135","13,509","3,288","1,560","1,728"
D0302,7,0,State - NCT OF DELHI,Uttarakhand,Urban,Rural,669,325,344,30,10,20,153,73,80,152,75,77,186,98,88,125,53,72,23,16,7
D0302,7,0,State - NCT OF DELHI,Uttarakhand,Urban,Urban,"76,606","36,692","39,914","3,016","1,453","1,563","12,928","6,012","6,916","12,823","6,061","6,762","18,055","8,540","9,515","26,519","13,082","13,437","3,265","1,544","1,721"
D0302,7,0,State - NCT OF DELHI,Haryana,Total,Total,"6,66,331","2,70,637","3,95,694","17,537","7,344","10,193","79,497","29,681","49,816","90,167","34,734","55,433","1,57,545","62,700","94,845","2,92,580","1,23,711","1,68,869","29,005","12,467","16,538"
D0302,7,0,State - NCT OF DELHI,Haryana,Total,Rural,"40,525","5,646","34,879","1,036",291,745,"5,491","1,228","4,263","5,959","1,178","4,781","9,452","1,540","7,912","17,299","1,105","16,194","1,288",304,984
D0302,7,0,State - NCT OF DELHI,Haryana,Total,Urban,"6,25,806","2,64,991","3,60,815","16,501","7,053","9,448","74,006","28,453","45,553","84,208","33,556","50,652","1,48,093","61,160","86,933","2,75,281","1,22,606","1,52,675","27,717","12,163","15,554"
D0302,7,0,State - NCT OF DELHI,Haryana,Rural,Total,"3,94,462","1,58,845","2,35,617","8,992","3,830","5,162","42,842","15,826","27,016","51,789","19,918","31,871","97,323","39,443","57,880","1,80,527","74,394","1,06,133","12,989","5,434","7,555"
D0302,7,0,State - NCT OF DELHI,Haryana,Rural,Rural,"35,111","4,412","30,699",814,220,594,"4,383",902,"3,481","4,910",880,"4,030","8,203","1,270","6,933","15,838",940,"14,898",963,200,763
D0302,7,0,State - NCT OF DELHI,Haryana,Rural,Urban,"3,59,351","1,54,433","2,04,918","8,178","3,610","4,568","38,459","14,924","23,535","46,879","19,038","27,841","89,120","38,173","50,947","1,64,689","73,454","91,235","12,026","5,234","6,792"
D0302,7,0,State - NCT OF DELHI,Haryana,Urban,Total,"2,60,483","1,07,168","1,53,315","8,261","3,412","4,849","35,604","13,517","22,087","37,404","14,486","22,918","58,972","22,849","36,123","1,09,577","48,471","61,106","10,665","4,433","6,232"
D0302,7,0,State - NCT OF DELHI,Haryana,Urban,Rural,"4,512","1,044","3,468",191,64,127,951,289,662,894,260,634,"1,093",241,852,"1,211",146,"1,065",172,44,128
D0302,7,0,State - NCT OF DELHI,Haryana,Urban,Urban,"2,55,971","1,06,124","1,49,847","8,070","3,348","4,722","34,653","13,228","21,425","36,510","14,226","22,284","57,879","22,608","35,271","1,08,366","48,325","60,041","10,493","4,389","6,104"
D0302,7,0,State - NCT OF DELHI,NCT of Delhi,Total,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,NCT of Delhi,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,NCT of Delhi,Total,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,NCT of Delhi,Rural,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,NCT of Delhi,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,NCT of Delhi,Rural,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,NCT of Delhi,Urban,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,NCT of Delhi,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,NCT of Delhi,Urban,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,Rajasthan,Total,Total,"3,15,238","1,60,065","1,55,173","9,798","4,942","4,856","43,129","20,408","22,721","44,816","21,788","23,028","75,923","38,030","37,893","1,27,320","67,778","59,542","14,252","7,119","7,133"
D0302,7,0,State - NCT OF DELHI,Rajasthan,Total,Rural,"4,084","1,962","2,122",205,112,93,874,415,459,773,364,409,951,455,496,926,430,496,355,186,169
D0302,7,0,State - NCT OF DELHI,Rajasthan,Total,Urban,"3,11,154","1,58,103","1,53,051","9,593","4,830","4,763","42,255","19,993","22,262","44,043","21,424","22,619","74,972","37,575","37,397","1,26,394","67,348","59,046","13,897","6,933","6,964"
D0302,7,0,State - NCT OF DELHI,Rajasthan,Rural,Total,"1,99,007","1,05,847","93,160","5,606","2,933","2,673","24,367","11,965","12,402","27,679","14,019","13,660","50,865","26,652","24,213","83,998","46,948","37,050","6,492","3,330","3,162"
D0302,7,0,State - NCT OF DELHI,Rajasthan,Rural,Rural,"2,877","1,392","1,485",149,87,62,578,275,303,558,258,300,759,374,385,766,362,404,67,36,31
D0302,7,0,State - NCT OF DELHI,Rajasthan,Rural,Urban,"1,96,130","1,04,455","91,675","5,457","2,846","2,611","23,789","11,690","12,099","27,121","13,761","13,360","50,106","26,278","23,828","83,232","46,586","36,646","6,425","3,294","3,131"
D0302,7,0,State - NCT OF DELHI,Rajasthan,Urban,Total,"1,10,326","51,288","59,038","4,039","1,943","2,096","18,214","8,189","10,025","16,669","7,553","9,116","24,445","11,110","13,335","42,242","20,364","21,878","4,717","2,129","2,588"
D0302,7,0,State - NCT OF DELHI,Rajasthan,Urban,Rural,876,400,476,52,24,28,264,126,138,178,85,93,170,72,98,150,65,85,62,28,34
D0302,7,0,State - NCT OF DELHI,Rajasthan,Urban,Urban,"1,09,450","50,888","58,562","3,987","1,919","2,068","17,950","8,063","9,887","16,491","7,468","9,023","24,275","11,038","13,237","42,092","20,299","21,793","4,655","2,101","2,554"
D0302,7,0,State - NCT OF DELHI,Uttar Pradesh,Total,Total,"28,54,297","15,16,023","13,38,274","99,680","52,568","47,112","4,09,836","2,03,902","2,05,934","4,59,044","2,35,319","2,23,725","7,93,492","4,18,490","3,75,002","9,75,285","5,45,544","4,29,741","1,16,960","60,200","56,760"
D0302,7,0,State - NCT OF DELHI,Uttar Pradesh,Total,Rural,"48,416","23,792","24,624","2,666","1,449","1,217","9,954","4,990","4,964","9,705","4,832","4,873","13,572","6,750","6,822","9,808","4,334","5,474","2,711","1,437","1,274"
D0302,7,0,State - NCT OF DELHI,Uttar Pradesh,Total,Urban,"28,05,881","14,92,231","13,13,650","97,014","51,119","45,895","3,99,882","1,98,912","2,00,970","4,49,339","2,30,487","2,18,852","7,79,920","4,11,740","3,68,180","9,65,477","5,41,210","4,24,267","1,14,249","58,763","55,486"
