Table name,State,District,Area Name,Last residence,Last residence,Place of enumeration,Total migrants,Total migrants (M),Total migrants (F),Less than 1 year,Less than 1 year(M),Less than 1 year(F),1-4 years,1-4 years(M),1-4 years(F),5-9 years,5-9 years(M),5-9 years(F),10-19 years,10-19 years(M),10-19 years(F),20+ years,20+ years(M),20+ years(F),Duration not stated,Duration not stated(M),Duration not stated(F)
,,,,,Total/Rural/Urban/Country,Total/Rural/Urban,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
D0302,7,93,East,West Bengal,Rural,Total,"8,341","4,416","3,925",392,217,175,"1,475",729,746,"1,872",954,918,"2,784","1,468","1,316","1,642",957,685,176,91,85
D0302,7,93,East,West Bengal,Rural,Rural,5,2,3,0,0,0,3,1,2,1,0,1,1,1,0,0,0,0,0,0,0
D0302,7,93,East,West Bengal,Rural,Urban,"8,336","4,414","3,922",392,217,175,"1,472",728,744,"1,871",954,917,"2,783","1,467","1,316","1,642",957,685,176,91,85
D0302,7,93,East,West Bengal,Urban,Total,"14,234","6,908","7,326",542,232,310,"2,419","1,119","1,300","2,641","1,258","1,383","3,924","1,902","2,022","4,210","2,153","2,057",498,244,254
D0302,7,93,East,West Bengal,Urban,Rural,30,15,15,2,0,2,10,6,4,9,5,4,6,2,4,3,2,1,0,0,0
D0302,7,93,East,West Bengal,Urban,Urban,"14,204","6,893","7,311",540,232,308,"2,409","1,113","1,296","2,632","1,253","1,379","3,918","1,900","2,018","4,207","2,151","2,056",498,244,254
D0302,7,93,East,Jharkhand,Total,Total,"7,236","3,951","3,285",497,253,244,"1,944","1,052",892,"1,787",969,818,"1,869","1,045",824,868,481,387,271,151,120
D0302,7,93,East,Jharkhand,Total,Rural,37,19,18,1,0,1,23,10,13,5,2,3,4,4,0,2,2,0,2,1,1
D0302,7,93,East,Jharkhand,Total,Urban,"7,199","3,932","3,267",496,253,243,"1,921","1,042",879,"1,782",967,815,"1,865","1,041",824,866,479,387,269,150,119
D0302,7,93,East,Jharkhand,Rural,Total,"3,006","1,709","1,297",170,79,91,736,414,322,765,412,353,839,500,339,420,256,164,76,48,28
D0302,7,93,East,Jharkhand,Rural,Rural,11,5,6,1,0,1,6,3,3,2,1,1,0,0,0,1,1,0,1,0,1
D0302,7,93,East,Jharkhand,Rural,Urban,"2,995","1,704","1,291",169,79,90,730,411,319,763,411,352,839,500,339,419,255,164,75,48,27
D0302,7,93,East,Jharkhand,Urban,Total,"4,124","2,181","1,943",322,170,152,"1,193",629,564,"1,011",552,459,"1,023",541,482,443,221,222,132,68,64
D0302,7,93,East,Jharkhand,Urban,Rural,26,14,12,0,0,0,17,7,10,3,1,2,4,4,0,1,1,0,1,1,0
D0302,7,93,East,Jharkhand,Urban,Urban,"4,098","2,167","1,931",322,170,152,"1,176",622,554,"1,008",551,457,"1,019",537,482,442,220,222,131,67,64
D0302,7,93,East,Odisha,Total,Total,"4,359","2,434","1,925",237,117,120,"1,052",535,517,"1,048",562,486,"1,138",667,471,721,447,274,163,106,57
D0302,7,93,East,Odisha,Total,Rural,20,10,10,0,0,0,10,4,6,7,4,3,3,2,1,0,0,0,0,0,0
D0302,7,93,East,Odisha,Total,Urban,"4,339","2,424","1,915",237,117,120,"1,042",531,511,"1,041",558,483,"1,135",665,470,721,447,274,163,106,57
D0302,7,93,East,Odisha,Rural,Total,"2,224","1,308",916,117,66,51,511,270,241,570,313,257,605,376,229,349,232,117,72,51,21
D0302,7,93,East,Odisha,Rural,Rural,5,3,2,0,0,0,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Odisha,Rural,Urban,"2,219","1,305",914,117,66,51,509,269,240,567,311,256,605,376,229,349,232,117,72,51,21
D0302,7,93,East,Odisha,Urban,Total,"2,086","1,102",984,119,51,68,534,263,271,477,249,228,526,287,239,366,213,153,64,39,25
D0302,7,93,East,Odisha,Urban,Rural,15,7,8,0,0,0,8,3,5,4,2,2,3,2,1,0,0,0,0,0,0
D0302,7,93,East,Odisha,Urban,Urban,"2,071","1,095",976,119,51,68,526,260,266,473,247,226,523,285,238,366,213,153,64,39,25
D0302,7,93,East,Chhattisgarh,Total,Total,"1,028",494,534,92,52,40,274,129,145,200,100,100,186,91,95,236,116,120,40,6,34
D0302,7,93,East,Chhattisgarh,Total,Rural,8,4,4,3,2,1,2,1,1,1,0,1,0,0,0,2,1,1,0,0,0
D0302,7,93,East,Chhattisgarh,Total,Urban,"1,020",490,530,89,50,39,272,128,144,199,100,99,186,91,95,234,115,119,40,6,34
D0302,7,93,East,Chhattisgarh,Rural,Total,375,197,178,29,15,14,97,52,45,77,41,36,65,33,32,95,53,42,12,3,9
D0302,7,93,East,Chhattisgarh,Rural,Rural,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Chhattisgarh,Rural,Urban,374,197,177,29,15,14,96,52,44,77,41,36,65,33,32,95,53,42,12,3,9
D0302,7,93,East,Chhattisgarh,Urban,Total,644,294,350,63,37,26,177,77,100,123,59,64,120,57,63,141,63,78,20,1,19
D0302,7,93,East,Chhattisgarh,Urban,Rural,7,4,3,3,2,1,1,1,0,1,0,1,0,0,0,2,1,1,0,0,0
D0302,7,93,East,Chhattisgarh,Urban,Urban,637,290,347,60,35,25,176,76,100,122,59,63,120,57,63,139,62,77,20,1,19
D0302,7,93,East,Madhya Pradesh,Total,Total,"14,471","7,155","7,316",906,444,462,"2,648","1,226","1,422","2,553","1,258","1,295","3,572","1,754","1,818","4,266","2,213","2,053",526,260,266
D0302,7,93,East,Madhya Pradesh,Total,Rural,54,22,32,4,2,2,16,5,11,21,11,10,3,1,2,10,3,7,0,0,0
D0302,7,93,East,Madhya Pradesh,Total,Urban,"14,417","7,133","7,284",902,442,460,"2,632","1,221","1,411","2,532","1,247","1,285","3,569","1,753","1,816","4,256","2,210","2,046",526,260,266
D0302,7,93,East,Madhya Pradesh,Rural,Total,"7,453","3,941","3,512",571,296,275,"1,294",602,692,"1,352",694,658,"1,969","1,050",919,"2,080","1,199",881,187,100,87
D0302,7,93,East,Madhya Pradesh,Rural,Rural,9,3,6,0,0,0,4,1,3,3,2,1,1,0,1,1,0,1,0,0,0
D0302,7,93,East,Madhya Pradesh,Rural,Urban,"7,444","3,938","3,506",571,296,275,"1,290",601,689,"1,349",692,657,"1,968","1,050",918,"2,079","1,199",880,187,100,87
D0302,7,93,East,Madhya Pradesh,Urban,Total,"6,833","3,133","3,700",329,147,182,"1,347",620,727,"1,185",555,630,"1,586",695,891,"2,160","1,003","1,157",226,113,113
D0302,7,93,East,Madhya Pradesh,Urban,Rural,45,19,26,4,2,2,12,4,8,18,9,9,2,1,1,9,3,6,0,0,0
D0302,7,93,East,Madhya Pradesh,Urban,Urban,"6,788","3,114","3,674",325,145,180,"1,335",616,719,"1,167",546,621,"1,584",694,890,"2,151","1,000","1,151",226,113,113
D0302,7,93,East,Gujarat,Total,Total,"2,873","1,361","1,512",144,69,75,496,222,274,518,241,277,593,257,336,"1,004",520,484,118,52,66
D0302,7,93,East,Gujarat,Total,Rural,7,1,6,0,0,0,1,1,0,3,0,3,0,0,0,3,0,3,0,0,0
D0302,7,93,East,Gujarat,Total,Urban,"2,866","1,360","1,506",144,69,75,495,221,274,515,241,274,593,257,336,"1,001",520,481,118,52,66
D0302,7,93,East,Gujarat,Rural,Total,907,450,457,40,21,19,114,35,79,100,41,59,197,82,115,426,260,166,30,11,19
D0302,7,93,East,Gujarat,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Gujarat,Rural,Urban,907,450,457,40,21,19,114,35,79,100,41,59,197,82,115,426,260,166,30,11,19
D0302,7,93,East,Gujarat,Urban,Total,"1,929",896,"1,033",103,48,55,382,187,195,413,200,213,392,173,219,575,259,316,64,29,35
D0302,7,93,East,Gujarat,Urban,Rural,7,1,6,0,0,0,1,1,0,3,0,3,0,0,0,3,0,3,0,0,0
D0302,7,93,East,Gujarat,Urban,Urban,"1,922",895,"1,027",103,48,55,381,186,195,410,200,210,392,173,219,572,259,313,64,29,35
D0302,7,93,East,Daman & Diu,Total,Total,3,2,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Daman & Diu,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Daman & Diu,Total,Urban,3,2,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Daman & Diu,Rural,Total,3,2,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Daman & Diu,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Daman & Diu,Rural,Urban,3,2,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Daman & Diu,Urban,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Daman & Diu,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Daman & Diu,Urban,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Dadra & Nagar Haveli,Total,Total,19,8,11,1,0,1,4,2,2,3,1,2,7,3,4,3,2,1,1,0,1
D0302,7,93,East,Dadra & Nagar Haveli,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Dadra & Nagar Haveli,Total,Urban,19,8,11,1,0,1,4,2,2,3,1,2,7,3,4,3,2,1,1,0,1
D0302,7,93,East,Dadra & Nagar Haveli,Rural,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Dadra & Nagar Haveli,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Dadra & Nagar Haveli,Rural,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Dadra & Nagar Haveli,Urban,Total,18,8,10,1,0,1,4,2,2,3,1,2,7,3,4,3,2,1,0,0,0
D0302,7,93,East,Dadra & Nagar Haveli,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Dadra & Nagar Haveli,Urban,Urban,18,8,10,1,0,1,4,2,2,3,1,2,7,3,4,3,2,1,0,0,0
D0302,7,93,East,Maharashtra,Total,Total,"6,589","3,010","3,579",371,178,193,"1,381",658,723,"1,115",492,623,"1,469",658,811,"1,974",909,"1,065",279,115,164
D0302,7,93,East,Maharashtra,Total,Rural,21,11,10,0,0,0,11,5,6,3,1,2,5,3,2,0,0,0,2,2,0
D0302,7,93,East,Maharashtra,Total,Urban,"6,568","2,999","3,569",371,178,193,"1,370",653,717,"1,112",491,621,"1,464",655,809,"1,974",909,"1,065",277,113,164
D0302,7,93,East,Maharashtra,Rural,Total,740,351,389,25,11,14,144,71,73,110,53,57,164,69,95,270,134,136,27,13,14
D0302,7,93,East,Maharashtra,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Maharashtra,Rural,Urban,740,351,389,25,11,14,144,71,73,110,53,57,164,69,95,270,134,136,27,13,14
D0302,7,93,East,Maharashtra,Urban,Total,"5,757","2,622","3,135",344,166,178,"1,234",586,648,"1,001",438,563,"1,297",586,711,"1,691",768,923,190,78,112
D0302,7,93,East,Maharashtra,Urban,Rural,21,11,10,0,0,0,11,5,6,3,1,2,5,3,2,0,0,0,2,2,0
D0302,7,93,East,Maharashtra,Urban,Urban,"5,736","2,611","3,125",344,166,178,"1,223",581,642,998,437,561,"1,292",583,709,"1,691",768,923,188,76,112
D0302,7,93,East,Andhra Pradesh,Total,Total,"2,832","1,398","1,434",180,95,85,536,262,274,558,268,290,683,336,347,767,384,383,108,53,55
D0302,7,93,East,Andhra Pradesh,Total,Rural,3,1,2,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Andhra Pradesh,Total,Urban,"2,829","1,397","1,432",180,95,85,535,262,273,556,267,289,683,336,347,767,384,383,108,53,55
D0302,7,93,East,Andhra Pradesh,Rural,Total,691,372,319,24,15,9,89,42,47,142,68,74,170,93,77,255,148,107,11,6,5
D0302,7,93,East,Andhra Pradesh,Rural,Rural,3,1,2,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Andhra Pradesh,Rural,Urban,688,371,317,24,15,9,88,42,46,140,67,73,170,93,77,255,148,107,11,6,5
D0302,7,93,East,Andhra Pradesh,Urban,Total,"2,113","1,013","1,100",156,80,76,445,220,225,415,200,215,513,243,270,509,235,274,75,35,40
D0302,7,93,East,Andhra Pradesh,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Andhra Pradesh,Urban,Urban,"2,113","1,013","1,100",156,80,76,445,220,225,415,200,215,513,243,270,509,235,274,75,35,40
D0302,7,93,East,Karnataka,Total,Total,"1,654",821,833,126,77,49,467,233,234,304,149,155,329,157,172,364,175,189,64,30,34
D0302,7,93,East,Karnataka,Total,Rural,3,3,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Karnataka,Total,Urban,"1,651",818,833,126,77,49,465,231,234,303,148,155,329,157,172,364,175,189,64,30,34
D0302,7,93,East,Karnataka,Rural,Total,156,68,88,5,3,2,31,10,21,23,7,16,34,16,18,56,28,28,7,4,3
D0302,7,93,East,Karnataka,Rural,Rural,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Karnataka,Rural,Urban,155,67,88,5,3,2,30,9,21,23,7,16,34,16,18,56,28,28,7,4,3
D0302,7,93,East,Karnataka,Urban,Total,"1,470",743,727,119,73,46,432,221,211,280,141,139,294,140,154,305,146,159,40,22,18
D0302,7,93,East,Karnataka,Urban,Rural,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Karnataka,Urban,Urban,"1,468",741,727,119,73,46,431,220,211,279,140,139,294,140,154,305,146,159,40,22,18
D0302,7,93,East,Goa,Total,Total,121,60,61,7,6,1,16,10,6,26,9,17,20,9,11,48,25,23,4,1,3
D0302,7,93,East,Goa,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Goa,Total,Urban,121,60,61,7,6,1,16,10,6,26,9,17,20,9,11,48,25,23,4,1,3
D0302,7,93,East,Goa,Rural,Total,17,10,7,1,1,0,4,2,2,6,2,4,1,1,0,4,4,0,1,0,1
D0302,7,93,East,Goa,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Goa,Rural,Urban,17,10,7,1,1,0,4,2,2,6,2,4,1,1,0,4,4,0,1,0,1
D0302,7,93,East,Goa,Urban,Total,104,50,54,6,5,1,12,8,4,20,7,13,19,8,11,44,21,23,3,1,2
D0302,7,93,East,Goa,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Goa,Urban,Urban,104,50,54,6,5,1,12,8,4,20,7,13,19,8,11,44,21,23,3,1,2
D0302,7,93,East,Lakshadweep,Total,Total,6,0,6,1,0,1,1,0,1,1,0,1,0,0,0,2,0,2,1,0,1
D0302,7,93,East,Lakshadweep,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Lakshadweep,Total,Urban,6,0,6,1,0,1,1,0,1,1,0,1,0,0,0,2,0,2,1,0,1
D0302,7,93,East,Lakshadweep,Rural,Total,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
D0302,7,93,East,Lakshadweep,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Lakshadweep,Rural,Urban,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
D0302,7,93,East,Lakshadweep,Urban,Total,3,0,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Lakshadweep,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Lakshadweep,Urban,Urban,3,0,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Kerala,Total,Total,"10,621","5,334","5,287",493,251,242,"1,643",752,891,"1,649",784,865,"3,102","1,518","1,584","3,382","1,850","1,532",352,179,173
D0302,7,93,East,Kerala,Total,Rural,29,11,18,3,0,3,5,3,2,1,1,0,2,1,1,17,6,11,1,0,1
D0302,7,93,East,Kerala,Total,Urban,"10,592","5,323","5,269",490,251,239,"1,638",749,889,"1,648",783,865,"3,100","1,517","1,583","3,365","1,844","1,521",351,179,172
D0302,7,93,East,Kerala,Rural,Total,"5,050","2,613","2,437",203,104,99,698,328,370,795,407,388,"1,636",810,826,"1,640",925,715,78,39,39
D0302,7,93,East,Kerala,Rural,Rural,17,6,11,3,0,3,1,1,0,1,1,0,1,1,0,10,3,7,1,0,1
D0302,7,93,East,Kerala,Rural,Urban,"5,033","2,607","2,426",200,104,96,697,327,370,794,406,388,"1,635",809,826,"1,630",922,708,77,39,38
D0302,7,93,East,Kerala,Urban,Total,"5,356","2,618","2,738",286,145,141,936,420,516,842,373,469,"1,445",697,748,"1,727",921,806,120,62,58
D0302,7,93,East,Kerala,Urban,Rural,12,5,7,0,0,0,4,2,2,0,0,0,1,0,1,7,3,4,0,0,0
D0302,7,93,East,Kerala,Urban,Urban,"5,344","2,613","2,731",286,145,141,932,418,514,842,373,469,"1,444",697,747,"1,720",918,802,120,62,58
D0302,7,93,East,Tamil Nadu,Total,Total,"5,203","2,535","2,668",219,111,108,828,403,425,739,355,384,"1,065",488,577,"2,187","1,099","1,088",165,79,86
D0302,7,93,East,Tamil Nadu,Total,Rural,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
D0302,7,93,East,Tamil Nadu,Total,Urban,"5,201","2,533","2,668",219,111,108,828,403,425,738,354,384,"1,065",488,577,"2,186","1,098","1,088",165,79,86
D0302,7,93,East,Tamil Nadu,Rural,Total,"1,578",765,813,46,23,23,148,57,91,170,90,80,324,152,172,856,429,427,34,14,20
D0302,7,93,East,Tamil Nadu,Rural,Rural,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Tamil Nadu,Rural,Urban,"1,577",764,813,46,23,23,148,57,91,169,89,80,324,152,172,856,429,427,34,14,20
D0302,7,93,East,Tamil Nadu,Urban,Total,"3,573","1,743","1,830",171,86,85,676,344,332,567,264,303,733,332,401,"1,319",665,654,107,52,55
D0302,7,93,East,Tamil Nadu,Urban,Rural,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
D0302,7,93,East,Tamil Nadu,Urban,Urban,"3,572","1,742","1,830",171,86,85,676,344,332,567,264,303,733,332,401,"1,318",664,654,107,52,55
D0302,7,93,East,Puducherry,Total,Total,65,34,31,6,3,3,15,8,7,13,7,6,6,4,2,21,11,10,4,1,3
D0302,7,93,East,Puducherry,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Puducherry,Total,Urban,65,34,31,6,3,3,15,8,7,13,7,6,6,4,2,21,11,10,4,1,3
D0302,7,93,East,Puducherry,Rural,Total,11,4,7,4,1,3,2,0,2,1,0,1,0,0,0,4,3,1,0,0,0
D0302,7,93,East,Puducherry,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Puducherry,Rural,Urban,11,4,7,4,1,3,2,0,2,1,0,1,0,0,0,4,3,1,0,0,0
D0302,7,93,East,Puducherry,Urban,Total,54,30,24,2,2,0,13,8,5,12,7,5,6,4,2,17,8,9,4,1,3
D0302,7,93,East,Puducherry,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Puducherry,Urban,Urban,54,30,24,2,2,0,13,8,5,12,7,5,6,4,2,17,8,9,4,1,3
D0302,7,93,East,Andaman & Nicobar Islands,Total,Total,47,27,20,2,2,0,7,4,3,10,7,3,15,8,7,10,5,5,3,1,2
D0302,7,93,East,Andaman & Nicobar Islands,Total,Rural,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Andaman & Nicobar Islands,Total,Urban,46,27,19,2,2,0,7,4,3,9,7,2,15,8,7,10,5,5,3,1,2
D0302,7,93,East,Andaman & Nicobar Islands,Rural,Total,13,5,8,0,0,0,2,0,2,7,4,3,1,1,0,2,0,2,1,0,1
D0302,7,93,East,Andaman & Nicobar Islands,Rural,Rural,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Andaman & Nicobar Islands,Rural,Urban,12,5,7,0,0,0,2,0,2,6,4,2,1,1,0,2,0,2,1,0,1
D0302,7,93,East,Andaman & Nicobar Islands,Urban,Total,34,22,12,2,2,0,5,4,1,3,3,0,14,7,7,8,5,3,2,1,1
D0302,7,93,East,Andaman & Nicobar Islands,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,93,East,Andaman & Nicobar Islands,Urban,Urban,34,22,12,2,2,0,5,4,1,3,3,0,14,7,7,8,5,3,2,1,1
D0302,7,94,New Delhi,Jammu & Kashmir,Total,Total,722,428,294,82,53,29,283,173,110,73,43,30,98,55,43,97,48,49,89,56,33
D0302,7,94,New Delhi,Jammu & Kashmir,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Jammu & Kashmir,Total,Urban,722,428,294,82,53,29,283,173,110,73,43,30,98,55,43,97,48,49,89,56,33
D0302,7,94,New Delhi,Jammu & Kashmir,Rural,Total,177,104,73,22,14,8,75,41,34,18,12,6,31,19,12,21,14,7,10,4,6
D0302,7,94,New Delhi,Jammu & Kashmir,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Jammu & Kashmir,Rural,Urban,177,104,73,22,14,8,75,41,34,18,12,6,31,19,12,21,14,7,10,4,6
D0302,7,94,New Delhi,Jammu & Kashmir,Urban,Total,476,275,201,58,38,20,203,130,73,54,30,24,60,32,28,75,34,41,26,11,15
D0302,7,94,New Delhi,Jammu & Kashmir,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Jammu & Kashmir,Urban,Urban,476,275,201,58,38,20,203,130,73,54,30,24,60,32,28,75,34,41,26,11,15
D0302,7,94,New Delhi,Himachal Pradesh,Total,Total,"1,922","1,101",821,89,44,45,302,174,128,261,143,118,385,210,175,696,412,284,189,118,71
D0302,7,94,New Delhi,Himachal Pradesh,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Himachal Pradesh,Total,Urban,"1,922","1,101",821,89,44,45,302,174,128,261,143,118,385,210,175,696,412,284,189,118,71
D0302,7,94,New Delhi,Himachal Pradesh,Rural,Total,"1,155",690,465,40,23,17,162,96,66,179,106,73,287,161,126,467,291,176,20,13,7
D0302,7,94,New Delhi,Himachal Pradesh,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Himachal Pradesh,Rural,Urban,"1,155",690,465,40,23,17,162,96,66,179,106,73,287,161,126,467,291,176,20,13,7
D0302,7,94,New Delhi,Himachal Pradesh,Urban,Total,554,281,273,46,20,26,126,70,56,72,34,38,85,43,42,198,102,96,27,12,15
D0302,7,94,New Delhi,Himachal Pradesh,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Himachal Pradesh,Urban,Urban,554,281,273,46,20,26,126,70,56,72,34,38,85,43,42,198,102,96,27,12,15
D0302,7,94,New Delhi,Punjab,Total,Total,"1,909",991,918,93,45,48,355,168,187,295,162,133,315,177,138,674,336,338,177,103,74
D0302,7,94,New Delhi,Punjab,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Punjab,Total,Urban,"1,909",991,918,93,45,48,355,168,187,295,162,133,315,177,138,674,336,338,177,103,74
D0302,7,94,New Delhi,Punjab,Rural,Total,612,381,231,27,17,10,109,60,49,102,71,31,130,89,41,235,139,96,9,5,4
D0302,7,94,New Delhi,Punjab,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Punjab,Rural,Urban,612,381,231,27,17,10,109,60,49,102,71,31,130,89,41,235,139,96,9,5,4
D0302,7,94,New Delhi,Punjab,Urban,Total,"1,148",522,626,64,27,37,232,101,131,188,87,101,175,83,92,415,186,229,74,38,36
D0302,7,94,New Delhi,Punjab,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Punjab,Urban,Urban,"1,148",522,626,64,27,37,232,101,131,188,87,101,175,83,92,415,186,229,74,38,36
D0302,7,94,New Delhi,Chandigarh,Total,Total,132,65,67,13,6,7,28,15,13,23,9,14,35,20,15,23,10,13,10,5,5
D0302,7,94,New Delhi,Chandigarh,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Chandigarh,Total,Urban,132,65,67,13,6,7,28,15,13,23,9,14,35,20,15,23,10,13,10,5,5
D0302,7,94,New Delhi,Chandigarh,Rural,Total,3,1,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1
D0302,7,94,New Delhi,Chandigarh,Rural,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Chandigarh,Rural,Urban,3,1,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1
D0302,7,94,New Delhi,Chandigarh,Urban,Total,122,60,62,13,6,7,27,14,13,23,9,14,33,19,14,22,10,12,4,2,2
D0302,7,94,New Delhi,Chandigarh,Urban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Chandigarh,Urban,Urban,122,60,62,13,6,7,27,14,13,23,9,14,33,19,14,22,10,12,4,2,2
D0302,7,94,New Delhi,Uttarakhand,Total,Total,"6,463","3,473","2,990",265,146,119,869,446,423,897,466,431,"1,562",802,760,"2,311","1,321",990,559,292,267
D0302,7,94,New Delhi,Uttarakhand,Total,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,94,New Delhi,Uttarakhand,Total,Urban,"6,463","3,473","2,990",265,146,119,869,446,423,897,466,431,"1,562",802,760,"2,311","1,321",990,559,292,267
